filename,score
CtrSVDD_0000_E_0000000,-6.6254771070
CtrSVDD_0001_E_0000001,0.2494491207
CtrSVDD_0002_E_0000002,-5.4990544456
CtrSVDD_0003_E_0000003,-6.3166812639
CtrSVDD_0004_E_0000004,-5.8057773562
CtrSVDD_0005_E_0000005,-7.2285509449
CtrSVDD_0006_E_0000006,-7.1581577745
CtrSVDD_0007_E_0000007,-7.6240265154
CtrSVDD_0008_E_0000008,-6.5428929084
CtrSVDD_0009_E_0000009,-0.9689532745
CtrSVDD_0010_E_0000010,-6.9544221335
CtrSVDD_0011_E_0000011,-6.7343312176
CtrSVDD_0012_E_0000012,-6.5719113243
CtrSVDD_0013_E_0000013,-1.0205289246
CtrSVDD_0014_E_0000014,-6.1498496695
CtrSVDD_0015_E_0000015,-4.2813710020
CtrSVDD_0016_E_0000016,-4.3582148435
CtrSVDD_0017_E_0000017,-4.6181214555
CtrSVDD_0018_E_0000018,-4.7711774497
CtrSVDD_0019_E_0000019,-6.9765674551
CtrSVDD_0020_E_0000020,-7.6815805458
CtrSVDD_0021_E_0000021,-8.8501302489
CtrSVDD_0022_E_0000022,-4.4051527302
CtrSVDD_0023_E_0000023,-4.9091403494
CtrSVDD_0024_E_0000024,-7.3604633086
CtrSVDD_0025_E_0000025,-0.1212919178
CtrSVDD_0026_E_0000026,-6.8944449430
CtrSVDD_0027_E_0000027,-5.9544986082
CtrSVDD_0028_E_0000028,-7.1315036580
CtrSVDD_0029_E_0000029,0.8758006938
CtrSVDD_0030_E_0000030,-8.0575855156
CtrSVDD_0031_E_0000031,-5.3613230721
CtrSVDD_0032_E_0000032,-4.4123363716
CtrSVDD_0033_E_0000033,-7.7469182325
CtrSVDD_0034_E_0000034,-5.6927828523
CtrSVDD_0035_E_0000035,-7.0212968050
CtrSVDD_0036_E_0000036,-7.0604571052
CtrSVDD_0037_E_0000037,-6.4568686070
CtrSVDD_0038_E_0000038,-0.2842384143
CtrSVDD_0039_E_0000039,-9.1629934871
CtrSVDD_0040_E_0000040,-0.5999356728
CtrSVDD_0041_E_0000041,-6.2283155136
CtrSVDD_0042_E_0000042,-1.1489950162
CtrSVDD_0043_E_0000043,-7.0186155330
CtrSVDD_0044_E_0000044,-3.8207184380
CtrSVDD_0045_E_0000045,-5.6421191854
